-548.8163146487459,-548.8163146487459,-548.8163146487459
-544.1128816271176,-514.231490159271,-573.9942730949643
-552.4995531782373,-542.0570708493044,-562.9420355071702
-554.6987841584346,-547.3273640472473,-562.0702042696219
-552.376799849606,-547.2279929028482,-557.5256067963637
-553.3644073847112,-549.2833662081442,-557.4454485612781
-553.8406050410608,-550.4083403662673,-557.2728697158543
-550.5428795633571,-547.6595945689328,-553.4261645577815
-549.0080492266211,-546.4607686497483,-551.5553298034939
-548.7777742726389,-546.4854578512754,-551.0700906940024
-551.1777958388216,-549.1340940729781,-553.221497604665
-549.7544788702008,-547.9008981811862,-551.6080595592155
-550.8510001313408,-549.1630411269003,-552.5389591357813
-550.3026128973834,-548.7515204524366,-551.8537053423302
-550.2592681618438,-548.8241611090705,-551.6943752146171
-549.5301372495198,-548.1871133193001,-550.8731611797396
-547.7524739607751,-546.4478107784442,-549.0571371431059
-547.8483527076961,-546.5867236079678,-549.1099818074244
-547.0087534781326,-545.7657193444967,-548.2517876117685
-547.6592392908015,-546.4562459833751,-548.8622325982278
-547.872889023489,-546.7129010103948,-549.0328770365833
-548.9008713337356,-547.7941355874923,-550.0076070799789
-548.7361253615543,-547.6766502887228,-549.7956004343857
-548.4721336076612,-547.4537380351492,-549.4905291801733
-549.3142186865214,-548.338970359384,-550.2894670136587
-549.8180348776802,-548.8830051037899,-550.7530646515706
-550.2259168142707,-549.3271805464923,-551.1246530820491
-550.0962595515745,-549.2314231328553,-550.9610959702936
-550.5913523273513,-549.7562554462505,-551.426449208452
-550.4820223455921,-549.675154133899,-551.2888905572852
-551.0546674066833,-550.2711769137405,-551.838157899626
-550.4097511161879,-549.6513629403033,-551.1681392920724
-550.7000837519183,-549.964222473867,-551.4359450299696
-551.2878362121036,-550.5700063373615,-552.0056660868456
-551.4034976073726,-550.7021282978743,-552.104866916871
-551.276675791643,-550.591911379114,-551.961440204172
-551.2208111248814,-550.5522394823516,-551.8893827674111
-551.1598171627093,-550.5070252620251,-551.8126090633934
-551.2517045550937,-550.6135521528317,-551.8898569573557
-551.294547743156,-550.670217783798,-551.9188777025141
-551.8858082473797,-551.2713525091743,-552.5002639855851
-552.2199628452314,-551.6128435581616,-552.8270821323013
-552.2772553743649,-551.6771456400854,-552.8773651086444
-552.5151139331967,-551.920334121084,-553.1098937453095
-551.9110480352759,-551.3257348510293,-552.4963612195226
-551.4920784881796,-550.9178768002972,-552.0662801760619
-551.7069660672628,-551.1426360248108,-552.2712961097147
-551.8289566198289,-551.2736785978972,-552.3842346417606
-551.772631318298,-551.2263986595967,-552.3188639769992
-551.8366064848923,-551.2989071199911,-552.3743058497935
-551.7261584535805,-551.1971795883486,-552.2551373188124
